youtube_id,comment,target,stance
7lrHn4qpNE0,Worst serial e jyosna over acting mari over ga vundi,karthika deepam,against
7lrHn4qpNE0,Jyosthna endhuku anta over chesthundhi 😅😅😅😅😅...very comedy,karthika deepam,neutral
7lrHn4qpNE0,దీప గారికి ముందు మంచి చీరలు ఇవ్వండి డైరెక్టర్ గారు పసుపు ఎరుపు చీరలో చూసి చూసి బోర్ కొడుతుంది😂😂,karthika deepam,against
7lrHn4qpNE0,Inko rendu thagilinchu😅,karthika deepam,neutral
7lrHn4qpNE0,"అసలు ఈ సీరియల్ స్టోరీ ఇంత ""దరిద్రంగా
ఇంత చండాలంగా"" మారుతుందని మీలో ఎంతమంది ముందుగా అస్సలు ఊహించనేలేదు ఫ్రెండ్స్!!💯✅",karthika deepam,against
7lrHn4qpNE0,deepa nuvu super super super,karthika deepam,favor
7lrHn4qpNE0,Ammadeepa bangaru talli ne acting chala chala chala chala chala bangudhu ❤❤❤❤❤❤❤❤❤❤❤❤,karthika deepam,neutral
7lrHn4qpNE0,Amma bangaru talli ne acting chala chaia bangudhi mamu matalu chealka phothonam chala santhosamga undhi  ❤❤❤❤❤❤❤❤❤❤❤,karthika deepam,neutral
7lrHn4qpNE0,Deepa scooty entry 💪👑,karthika deepam,neutral
7lrHn4qpNE0,Dheepa super ilove u,karthika deepam,neutral
7lrHn4qpNE0,Entry echinantha seen em ledu deepaki,karthika deepam,neutral
7lrHn4qpNE0,Super ❤❤❤❤❤❤❤❤,karthika deepam,neutral
7lrHn4qpNE0,భర్త అనుమానపు పక్షి ఐతే ఆ భార్య పరిస్థితి ఎలా ఉంటుందో కార్తీక దీపం 1 లో చూపించారు అలాగే భర్త అసమర్థుడు ఐతే తన ముందు నిలబడడానీకి కూడా అర్హత లేనిది ఒకటి వచ్చి తాళి పట్టుకుని అంత ధైర్యంగా ఛాలెంజర్స్ చేస్తుంటే చూస్తూ ఉండిపోవడం తప్ప ఏం చేయలేని పరిస్థితి వస్తుంది ఆ భార్య కి అని కార్తీక దీపం 2 లో చాలా చక్కగా చూపిస్తున్నారు,karthika deepam,favor
7lrHn4qpNE0,Super sister god bless you with happiness annaya 👏👏👏👏 sister 🎉🎉🎉🎉🎉❤❤❤❤❤,karthika deepam,favor
7lrHn4qpNE0,"GOOD MORNING ALL 🎉❤🎉
HAPPY MONDAY  🎉❤🎉
STAY HYDRATED HAVE PLENTY OF WATER & FRUITS 🎉❤🎉
BE SAFE",karthika deepam,neutral
7lrHn4qpNE0,"Jyosthna over acting akuvindhi.. Domination akuvindhi. Nachatledhu series.. Apudu thanadhe domination ha
Intrest ledhu",karthika deepam,against
7lrHn4qpNE0,Idhari madhyalo karthik karivepaku aipoyadu,karthika deepam,neutral
7lrHn4qpNE0,Deepa mundu serial lo kuda sarees bagalevu story matram parama chetta,karthika deepam,against
7lrHn4qpNE0,Promo 🔥🔥🔥deepakka 👏👏👏👌👌👌❤️❤️🔥🔥🔥,karthika deepam,favor
7lrHn4qpNE0,kd 2 serial super duper hit,karthika deepam,neutral
7lrHn4qpNE0,"ఇంత చెత్త సీరియల్ ఎ ఛానల్ లో రాదు, రాబోదు,",karthika deepam,against
7lrHn4qpNE0,చి అసలు సీరియల్ తీసే వారికైన అర్థం అవుతుందా,karthika deepam,against
7lrHn4qpNE0,Wow! Excellent scene.....,karthika deepam,neutral
7lrHn4qpNE0,Mukesh and raksha valledderi project kavali please star maa,karthika deepam,neutral
7lrHn4qpNE0,❤❤❤❤🎉🎉🎉🎉😮😮😮😮😊😊😊😊 wonderful 😘😘😘😘 serial,karthika deepam,favor
7lrHn4qpNE0,Jyo annamata correct  ga matladi ddi jyo ku annayam jeriginddi thanadi manasu kada ame annadantlo thappu ledu anni duram chestharu Villu eddaru  chi,karthika deepam,neutral
7lrHn4qpNE0,"Lady oriented serial
Hero is Zero
Waste serial",karthika deepam,against
7lrHn4qpNE0,జ్యోస్న గారు ఈరోజు ఎపిసోడ్ చూసాను మిమ్మల్ని విలన్ అంటున్నారు కానీ ఈ సీరియల్ మీరే హీరోయిన్ ఈరోజు యాక్టింగ్ ఈరగదీశవు                         మెయిన్ విలన్స్ కార్తిక్ దీప దాసు దాసు పారిజాతం విలన్స్,karthika deepam,favor
7lrHn4qpNE0,Chaing story,karthika deepam,neutral
7lrHn4qpNE0,Ee serial lo Karthik ki jyoshna ki mrg ayindhi emoo,karthika deepam,neutral
7lrHn4qpNE0,Miru marara ...story writer evvaru assalu .... Mari over ga e serial. Edo karthik deepam kosam chustunte mari worst ga chesaru. I hate this serial now.,karthika deepam,against
7lrHn4qpNE0,"ఒక powerfull విలన్ పక్కన ఉంటే ఏమి చేతకాక పోయిన, ఏమి చేయలేక పోయినా హైలెట్ అయిపోవచ్చని ఈ సీరియల్ ద్వారా తెలుస్తుంది..",karthika deepam,against
7lrHn4qpNE0,"Deepa& karthik 
E 2 names kosamey serial chustham ma family 
Story ledu nithi ledu 
Joshna charector yedo oka goppa laga sidi chepadam",karthika deepam,neutral
7lrHn4qpNE0,Ee chetta serial ni telicast cheyyakudadani andaru strike cheyyali,karthika deepam,against
7lrHn4qpNE0,ఈ చెంప దెబ్బ అప్పట్లో కార్తీక్ తాళి కట్టేటప్పుడు కార్తీక్ ను కొట్టొచ్చుగా... అప్పుడు ఎందుకు కొట్టలేదు..,karthika deepam,against
7lrHn4qpNE0,కార్తీక్ ఏమైనా పై నుండి దిగి వచ్చాడా పక్కన నిలబడడానికి అర్హత లేకపోవడానికి. కుటుంబం అంత కలసి చిన్నపటి నుండి నీ బావ నీ మొగుడు అని ఎందుకు చెప్పాలి. కార్తీక్ తో గట్టిగా పెళ్ళి చేయనప్పుడు తన మనసు లో ఎందుకు ఈ ఆలోచనలు నింపాలి. కార్తీక్ కి తనంటే ఇష్టం లేకపోతే నిశ్చితార్థం కి పెళ్ళి కి ఎందుకు ఒప్పుకున్నాడు. అంటే ఒక ఆడపిల్ల కి మనసు అనేది ఉండదా. దానికి అర్హత లకి సంబంధం ఏంటి. కార్తీక్ తో జ్యోత్స్న పెళ్లి జరిగి ఉంటే జ్యోత్స్న ఇలా మారేది కాదు. ఒక రెండు ఎపిసోడ్స్ కే హీరో క్యారెక్టర్ తక్కువ అయినట్టు ఫీల్ అవుతుంటే మరి మొదటి నుండి జ్యోత్స్న అనే క్యారెక్టర్ కి ఎన్ని అవమానాలు జరిగాయి. ఇంకా జరగబోతాయి కూడా. బావ తో పెళ్ళి జరగలేదు. అమ్మ నాన్న వాళ్ళు సొంత వాళ్ళు కాదు. CEO పదవి లాగేసుకున్నారు. ఇవన్నీ ఒక్కొకటి జరుగుతూ ఉంటే ఆ స్థానం లో ఉన్న వాళ్ళకే తెలుస్తుంది బాధ. జ్యోత్స్న తప్పులు చేసింది కదా అనొచ్చు అలా చేయడానికి కారణం ఎవరు. Ok కార్తీక్ కి జ్యోత్స్న అంటే ఇష్టం లేదు పెళ్ళి చేసుకోలేదు అని అనొచ్చు కానీ ఆ విషయం అయిన చెప్పాలి కదా. అసలు ఎందుకు ఇష్టం లేదంటే కారణం కూడా లేదు. అది పక్కన పెట్టిన కార్తీక్ దీప మెడలో తాళి కట్టే సమయానికి దీప మీద ప్రేమ ఉందా. పెళ్లయ్యాక ప్రేమ వచ్చింది. అలానే జ్యోత్స్న మెడలో తాళి కట్టి ఉంటే కార్తీక్ కి జ్యోత్స్న మీద ప్రేమ వచ్చేది కదా. అంటే వారసురాలు కాదు కాబట్టి తనకి అర్హత ఉండదా. ఆ పెళ్ళి తనతో జరగనందుకే కదా తన వ్యక్తిత్వాన్ని కూడా పాడు చేసుకుంది. జీవితాన్ని కూడా నాశనం చేసుకుంటుంది.,karthika deepam,against
7lrHn4qpNE0,Jyo garu miru geluvali kani Karthik vaddu niku mosam cheyaleda chi 25 year nunchi bava bava ani venttapadithe niku mosam cheyaleda chi vaddu niku vere hero  pellichesko jyo garu correct kadu vallu niku mosam cheyaleda chi vaddu,karthika deepam,against
7lrHn4qpNE0,Eroju ep lo jo ne correct ga matldadidi.. Eroju ep bagundi.. Kani.. Inka appeyadadi.. E sodilu.. Inerst lekunte evvaru chudaru.. Director garu ep vasthunnayi ani sagadiyyakandi.. Pls 😢😢😊,karthika deepam,against
7lrHn4qpNE0,"cheeralu,kammalu,hairstyle,kuda maarchandi",karthika deepam,neutral
7lrHn4qpNE0,"Ee serial antha worst ,panikimalina, time waste serial ippati varaku na  life lone chudaledhu😡😡😡😡😡",karthika deepam,against
7lrHn4qpNE0,కాయిన్ కి రెండు వైపులు ఉన్నట్టు జ్యోత్స్న బాధ నీ కూడా తన వైపు నుండి ఇవాళ ఎపిసోడ్ లో చూపించారు. దీప కన్నా తల్లి తండ్రులకి ఎలా దూరం అయిందో జ్యోత్స్న కూడా అలానే తన కన్నా తల్లి తండ్రులకి దూరం అయింది. అలా అవ్వకపోయి ఉంటే కార్తీక్ అనే వాడు తన జీవితంలో ఉండేవాడు కాదు. తన మనస్తత్వం కూడా ఇలా ఉండేది కాదు. ఏమో ఒకవేళ దీప చిన్నపటి నుండి కార్తీక్ తో కలిసి పెరిగి ఉంటే తనని కూడా పెళ్లి చేసుకునే వాడు కాదేమో. విధి రాత దీప కి ఎలా పరీక్షలు పెట్టిందో జ్యోత్స్న కి కూడా అలానే పరీక్షలు పెడుతుంది.,karthika deepam,against
7lrHn4qpNE0,Sodi johstna over action asalu bagaledu,karthika deepam,neutral
7lrHn4qpNE0,Jyoshna super,karthika deepam,neutral
7lrHn4qpNE0,Hai sodi serial pettesade promo,karthika deepam,neutral
7lrHn4qpNE0,Background music మాత్రం చాలా స్ట్రాంగ్ ఉంది కానీ దానికి తగ్గట్లు కార్తీక్ దీప  ఫేసులు గాని వాళ్ల డైలాగులు గానీ అంత స్ట్రాంగ్ గా లేవు 😂😂😂,karthika deepam,against
7lrHn4qpNE0,Sollu tappa em ledu Yedava serial ......contenet ledu sodi tappa,karthika deepam,against
7lrHn4qpNE0,"Em baledu na bonda laaa vundi, but jo ki jarigina anyayam bagaa chepparu today",karthika deepam,neutral
7lrHn4qpNE0,"Serial waste Aipoindi content ledu
Tappu chesina varu nithulu cheptharu
Valu neralu chestharu
Valaku panishment undadu
Society ki oka serial or cinima yedaina 
Oka manchi massage evali
Ekada yem ledu borring tappa",karthika deepam,against
7lrHn4qpNE0,Karthik hero kaadhu zero,karthika deepam,against
7lrHn4qpNE0,Okappudu bagumdi ippudu anti intha chethaga unnadi  director ki mind dobbimdi anukumta chetha seriyal thondaraga close ipovali I seriyal,karthika deepam,against
hVvAkPbJwnw,Don't miss the teaser at the end! :),indian education,neutral
hVvAkPbJwnw,"*2 things missing in our education system*
1: Education
2: System",indian education,against
hVvAkPbJwnw,"Trust me, I have gained more knowledge from Dhruv's channel than my entire school life 😂.",indian education,favor
hVvAkPbJwnw,We really needed this video in this age where education is just meant to be memorized and not useable in real life.,indian education,against
hVvAkPbJwnw,"I don't know why there are so many unnecessary rules are in school 
1. Short hairs
2. Proper uniform 
3. Punishment for low marks
4. Notebook should be completed with good handwriting (mujhe padhna hai unko kya matlab meri handwriting se)
And I don't know why teachers say that even Math's notebook is compulsory",indian education,against
hVvAkPbJwnw,This is what a social media influencer needs to do 🙏👍,indian education,neutral
hVvAkPbJwnw,"This guy deserves a prize for opening the eyes of parents,teachers and all elders who don't listen to their child's needs",indian education,favor
hVvAkPbJwnw,"Every middle class family feel this feeling 10:37🥺..
..
..",indian education,neutral
hVvAkPbJwnw,My dad is sitting beside me 🌚,indian education,neutral
hVvAkPbJwnw,"Yesterday , at my school , our civics teacher asked us to give some good ideas that could be implemented in our school . Everyone gave ideas about improving the teacher's behaviour , the school's infrastructure etc. When my chance came , I stood up and highlighted some important points and in the last just told her to kindly watch your latest video about our educational system 💀",indian education,neutral
hVvAkPbJwnw,This guy is frankly speaking about it on public. Shoutout to you man...,indian education,neutral
hVvAkPbJwnw,"1) Engineer.
2) Doctor.
3) CA.
4) Civil services.

Only options indian parents are aware of 😂",indian education,neutral
hVvAkPbJwnw,"In 9th class I was just laughing silently in social science period the teacher noticed me and made me stand infront of the whole class and said ""ab smile kro wrna saare sections me le jaakar smile krwaaungi"" I smiled forcefully and the whole class laughed at me 
She even warned me and said You are not allowed to smile or laugh in my class
She just harrased me mentally infront of the whole class.
That was a private school in New delhi in a local area called sangam vihar 
School name- hari vidya bhawan 
Teacher name- Ranjana (sst teacher)",indian education,against
hVvAkPbJwnw,"My dad hasnt even passed 10th grade but he has real knowledge of the world. He never puts any pressure on me, he always ask me to do what i love and what i want to pursue. Hes the best dad and its a flex for me in this country of zombie parents.",indian education,against
hVvAkPbJwnw,I learnt more from youtube in 2 years than my entire school life,indian education,against
hVvAkPbJwnw,3:51 crow's 🐦‍⬛ ramp walk 😂😂😂😂😂,indian education,neutral
hVvAkPbJwnw,9:44 flying chapal received successfully 😅😅😂,indian education,neutral
hVvAkPbJwnw,3:49 this part maked me laugh badly😂🤣🤣,indian education,neutral
hVvAkPbJwnw,"I am a 16 y/o. I've already decided of becoming a graphic designer. I know my parents are strictly against it but it's not the reason to give up. Keep your motivation up guys
And obviously i have backup plans for myself...I'll be taking up economics as my main subject to know more about enterpreneurship.

I'll start learning python from next year too.",indian education,neutral
hVvAkPbJwnw,"My mom got so offended when Bhaiya called out all Indian parents. My mom is forcing me to pursue engineering. And whenever I argue with my mom to pursue something I have passion in, such as dance, but she always tells me that ""You'll regret it when you grow up."" It pressures me so much that I now have to pursue engineering, whether I want to or not.",indian education,against
hVvAkPbJwnw,"As a young generation of India today, we are cooked , the government is hardening the education instead of adding new things that could teach us life skills.",indian education,against
hVvAkPbJwnw,"I'm 22 years old and currently preparing for govt. jobs & this video made me introspect & question my options. Thank you, Dhruv.",indian education,neutral
hVvAkPbJwnw,"I am studying to be a zoologist and an environmentalist.. but when I told about it to my brothers, they laughed at me..🙂🙂",indian education,against
hVvAkPbJwnw,"You're right dhruv 
But how can solve this problems",indian education,neutral
hVvAkPbJwnw,It’s really difficult to accept the flaws in our parents. That’s why once an anonymous knowledgeable person said ‘every child deserves a parents but not every parents deserves a child’,indian education,against
hVvAkPbJwnw,"I am a middle schooler, and I really wanted to be an astrophysicist, almost no one was supporting me, now I am confident, thank you sir.",indian education,neutral
hVvAkPbJwnw,"0:32 my parents wanted me to become a doctor. I was good with school studies but wasn't that capable to crack neet and after 2 failed attempts, I finally spoke to my parents and convinced them to let me go in designing and animation career. My 1st year will be starting from August 1st😊",indian education,neutral
hVvAkPbJwnw,"न खराब टीचर होते हैं और न खराब मां बाप होते हैं, पता नहीं इसमें कितनी सच्चाई है, जहां चाह वहां राह",indian education,neutral
hVvAkPbJwnw,I'm 17 and a student and I wish I had/will have a teacher or a brother like Dhruv Rathee sir.😔Things will be differen❤️ . I admire you the most.,indian education,favor
hVvAkPbJwnw,"No nonsense, pure knowledge, no entertainment😎, only educational facts😍🥰😘... 
That is Dhruv Rathee 👍👍",indian education,favor
hVvAkPbJwnw,"Thank you very much sir for influencing me as parents and my daughter too. My daughter wants to be an astronaut, she is interested in geology and she is in 8th standard. If you have any suggestions or guidance for her, please share.",indian education,neutral
hVvAkPbJwnw,Here I am a happy graphic designer with a computer science background,indian education,neutral
hVvAkPbJwnw,बहुत अफसोस हो रहा है की लगभग 4- 5 साल मैंने छापरी युटयुबर्स के वीडियो देखे यहां तो एक वीडियो देखने के बाद ही नींद उड़ जाती है बहुत प्रेरणा मिलती है कुछ करने की थैंक यू सो मच,indian education,neutral
hVvAkPbJwnw,"I am 17 and can completely relate to this. Every student is running behind Neet or Jee.
If someone asks you what is your plan in your career and your answer is other than doctor or engineer, then you already failed in life according to them.
Thank you for this truly real video.  Waiting for the series.
Your videos are always zara hatt k🤩💛",indian education,against
hVvAkPbJwnw,"0:29 I am an audio engineer and yes you are 100% right, the awareness about this field is very less even my parents didn't know that sucha thing exist on the planet, i convinced them about my choice and now they are satisfied with what i am doing in my life. As I progress more they will more than happy. 😊❤",indian education,favor
hVvAkPbJwnw,Aisa carrier to Abhi Tak Koi nahin banaa raha hai,indian education,against
hVvAkPbJwnw,4:16 Dhisoom Dhisoom 😆,indian education,neutral
hVvAkPbJwnw,Dude I just can't stop smiling after watching this video I was so happy that someone is taking some initiative to change our orthodox society.I happy hope your hard work pay off,indian education,favor
hVvAkPbJwnw,I got civil engineering in nit durgapur .. but i was forced to study cse in local college . This is the condition of our society. Shoutout to you bhaiya for portraying the bitter truth. 💜,indian education,against
hVvAkPbJwnw,Dhruv rathee bhai topic pr 2026 main Video chahiye.,indian education,neutral
hVvAkPbJwnw,9:30 i got respected laugh 😂,indian education,neutral
hVvAkPbJwnw,5:48 REALLY BECAME DIEHARD FAN OF THIS LINE...PLEASE LISTEN AGAIN AND AGAIN,indian education,favor
hVvAkPbJwnw,6:35 I agree,indian education,favor
hVvAkPbJwnw,"Hi I'm 22! Final year masters student. Pursued cricket for 7.5 yrs , now I want to start all over and join an art school!. The path is filled with uncertainty, fear, dissappointing parents but I want to find myself. Not follow what everyone else is doing.
And I'm trying to get scholarship to go study abroad because there are hardly any good performing arts schools here.",indian education,against
hVvAkPbJwnw,All our students are warriors for surviving the toxic education system . For living with a smile even after receiving brutal remarks all day throughout the torturous competitive exam preparation stages and never giving up or even by letting go  it takes immense courage to do either . YOU deserve all the appreciations.,indian education,favor
hVvAkPbJwnw,"16:11
Student: i don't agree with you sir 
Teacher : Ok ,I will not give you sessional mark,and assignment mark😀😀",indian education,against
hVvAkPbJwnw,23:00 thanks dhruv rathi sir,indian education,neutral
hVvAkPbJwnw,"This is so true even now, parents label their children as ""You'll be a failure"" and follow in the footsteps of societal biases. Schools enslave children and children in turn believe that they really are failures.",indian education,against
hVvAkPbJwnw,"I am a parent of 2 kids. Thank you for opening my eyes Dhruv. Both me and my 10 year old kid watched this video together. I told her ""wohi karo jo tumhe khud keliye best lage""",indian education,neutral
hVvAkPbJwnw,"16:33 is the best line"" Teachers Pet""",indian education,neutral
K8M48G-pjns,మాస్క్ లో ఎయిడ్స్ పేషెంట్ లాగా ఉన్నావ్ bro,dacoit movie,against
K8M48G-pjns,First comment bro 😊,dacoit movie,neutral
K8M48G-pjns,Broooo 🤯🤯 as it is na mind lo unnadhi print dimpesavv ne video loo,dacoit movie,against
K8M48G-pjns,Annayya first like puchuk puchuk❤❤,dacoit movie,neutral
K8M48G-pjns,Longest review by naveen bhai 😂😂,dacoit movie,neutral
K8M48G-pjns,First comment puchuk puchuk,dacoit movie,neutral
K8M48G-pjns,Dacoit review ani search cheyangane first ni video ne vachindi bayya 😊,dacoit movie,favor
K8M48G-pjns,Ravayya poolachokka nekosame waiting,dacoit movie,neutral
K8M48G-pjns,"Upendra UI moive yela undhi moive ani adigithe, bagundhi anala baledhu anale, ardhamkaledhu😂",dacoit movie,against
K8M48G-pjns,Thumbnail 🔥,dacoit movie,favor
K8M48G-pjns,సాయంత్రం ఒకడు వస్తాడు పేపర్ పట్టుకొని 😂,dacoit movie,neutral
K8M48G-pjns,Hi bayya first comment❤,dacoit movie,neutral
K8M48G-pjns,Animal movie చూసి naaku same feeling vachindhi. బాలేదు అని చెప్పలేను బాగుంది అని చెప్పలేను.,dacoit movie,against
K8M48G-pjns,Anna ni laga family man lo okkada untadu telusaa his name is Jaideep Ahlawat see once bro,dacoit movie,neutral
K8M48G-pjns,Evening vasthadu barbell mama,dacoit movie,neutral
K8M48G-pjns,50th comment Mawa pin karlo as 50th comment ❤,dacoit movie,neutral
K8M48G-pjns,LIKE movie review kosam Wait 🙆,dacoit movie,neutral
K8M48G-pjns,Love insurance company review please 🎉,dacoit movie,neutral
K8M48G-pjns,Same feeling after LIK ... Dacoit kakunda LIK chusa anthe... But same feeling,dacoit movie,against
K8M48G-pjns,Race Gurram collection chpu broh 💥,dacoit movie,against
K8M48G-pjns,Mixed feeling Naku Last time The Raja Saab,dacoit movie,neutral
K8M48G-pjns,Bro Raaka poster see video chey,dacoit movie,neutral
K8M48G-pjns,Dacoit సినిమా ఎంతమంది చూసారు ❤,dacoit movie,neutral
K8M48G-pjns,Ayithe barbell arachakam chupistadu papers tho😂,dacoit movie,neutral
K8M48G-pjns,Family man 2 lo villain la vunavu bayya thumbnail lo 😂😂❤,dacoit movie,against
K8M48G-pjns,Hari Hara veera mallu my favourite rod,dacoit movie,neutral
K8M48G-pjns,Sunil anna endhuk unnado rtam kale....movie Liberty tiskovali kani..mari inta tiskovaddu,dacoit movie,against
K8M48G-pjns,Blockbuster 🔥,dacoit movie,neutral
K8M48G-pjns,God bless you bro😊,dacoit movie,neutral
K8M48G-pjns,1st comment,dacoit movie,favor
K8M48G-pjns,Poola bro.you are more suitable to act in that getup than Adivi sesh,dacoit movie,against
