youtube_id,comment,target,stance
4tfIHPlitfE,"India are total domination in white ball tournament right now!!

Bumrah once in a generation !",t20 world cup,favor
4tfIHPlitfE,"80s : Carribian era
90s : Aussies 

Now It's India era of domination ❤❤",t20 world cup,favor
4tfIHPlitfE,"When Nasser Hussain and Athers say “India is the heartbeat of world cricket”, you know how big the impact of Indian cricket really is. What a tournament the 2026 T20 World Cup was! 🔥🏏",t20 world cup,neutral
4tfIHPlitfE,"2022: ENG beat IND in the semis; ENG won the T20 World Cup🏆

2024: IND beat ENG in the semis; IND won the T20 World Cup🏆

2026: IND beat ENG in the semis; IND won the T20 World Cup🏆",t20 world cup,against
4tfIHPlitfE,"We win almost non-home conditions, respect for every one. vande matram",t20 world cup,neutral
4tfIHPlitfE,India's next 🎯 improve red ball cricket,t20 world cup,against
4tfIHPlitfE,"These two were one push away from saying ""ICC = BCCI"" 😂",t20 world cup,against
4tfIHPlitfE,Nasir Hossain face like 😂😂,t20 world cup,neutral
4tfIHPlitfE,"Whenever there is a series: Aus vs Ind, Eng vs SA, etc., you should invite an associate nation to play a warm-up-style game against one of the competing teams, or against both. So, for instance, before New Zealand play England, we let Scotland play one or both of them. So Scotland gets a great chance to show up, and even an ""upset"" by an associate nation is exciting going into the series; it wouldn't diminish it, because the host nation may not play their ""strongest side"" or whatever. It still gives the Nepals of this world more games.",t20 world cup,favor
4tfIHPlitfE,Jai Jagannatha,t20 world cup,neutral
4tfIHPlitfE,How can you say it was a 250 pitch. NZ only managed 150!,t20 world cup,against
4tfIHPlitfE,Nassir should apply Burnol today....😂😂😂,t20 world cup,neutral
4tfIHPlitfE,"As an Indian, I would want more and more international teams come up to join such events. 
I mean look how Italy, Zimbabwe, Ireland, Netherlands played. Don’t forget UAE. 

Wouldn’t it be amazing seeing cricket world cups starting with 30-40+ teams just like FIFA World cup.
It would be exciting. 

Let any country win. But, cricket wins.",t20 world cup,favor
4tfIHPlitfE,"Jio hotstar had a peak concurrent audience of 780 mln. A world record. So was the attendance in this largest cricket stadium of the world.
But total dominance from india made the final less enjoyable.",t20 world cup,against
4tfIHPlitfE,"We are cricket loving nation ❤ Man’s and woman’s in blue make our blood Blue as well 💙 
Congratulations Team India 🇮🇳",t20 world cup,favor
4tfIHPlitfE,They have a 15 year old in the ranks that can potentially play 20 years and who know what other players are going to step up.,t20 world cup,neutral
4tfIHPlitfE,"One way associate nations can play more cricket is for Eng, Aus and India to send their A sides to these countries to play them. It will help all those involved in such games to improve.",t20 world cup,neutral
4tfIHPlitfE,"Dread him, run from him, destiny arrives all the same, and now he's here, or should I say, Bumrah is 😎",t20 world cup,neutral
4tfIHPlitfE,History repeated and History defeated. India T20 Champions 💯👍👏q,t20 world cup,favor
4tfIHPlitfE,Nasser hussain crying from bottom of his heart,t20 world cup,against
4tfIHPlitfE,Congratulations indian 🎉❤,t20 world cup,neutral
4tfIHPlitfE,"Happy as an Indian but NZ were strategically shocking today. So many tactical errors: dropping Mcconchie, not giving Henry the 3rd over, not letting Philips bowl again to Sharma, switching to slower balls so early in the game, Neesham bowling full pace to Dube in the last over despite slower balls working so well, Mitchell batting at 6, Santner coming above Neesham. I would even say bowling first in the final was a mistake too. It was bewildering from NZ.",t20 world cup,against
4tfIHPlitfE,Good point from Atherton about associate nations. This is only time majority of the cricket fans even notice them,t20 world cup,neutral
4tfIHPlitfE,"I am so privileged to be a part of this age and time of India! Winning is amazing! And of course, India should always remain humble, respect the game and be grateful to God for all the blessings! Let’s keep working hard people, a little better everyday. 🇮🇳",t20 world cup,favor
4tfIHPlitfE,"In chennai, people cheered for other players even before the IPL days!",t20 world cup,neutral
4tfIHPlitfE,"We all enjoyed listening to Nassar and Mike all through, they add spice to their soup in the correct proportion to make cricket commentary enjoyable as much as watching..Cheers to these duo ..",t20 world cup,neutral
4tfIHPlitfE,If nassir Hussain has admitted that India is heartbeat of cricket then we know and should be proud of what we have done for cricket in India I mean as a whole ex players current players support staff BCCI and more importantly us fans 🇮🇳🙏🏼🇮🇳🙏🏼,t20 world cup,favor
4tfIHPlitfE,The name CHOKERS wrongly attached to South Africa. But it is aptly apply to New Zealand,t20 world cup,against
4tfIHPlitfE,"Well said...
Agree with u ...india is heartbeat of world cricket🎉🇮🇳",t20 world cup,favor
4tfIHPlitfE,India is the heart beat of cricket as no one else is playing it so saad,t20 world cup,against
4tfIHPlitfE,"🏏🏏⚘🏏💜......Ofcourse, Divine India  Is The  Heart Beat  Of CRICKET ..........🪔🪔 A Billion Hearts  To U....U''' 💕 💞 

.",t20 world cup,favor
4tfIHPlitfE,This has been one of the best T20 WC for the excitement offered. Quite a few matches were close. Pitches were good. Icing - Associates made their presence felt.,t20 world cup,favor
4tfIHPlitfE,"Love to athers and nass 
From kolkata",t20 world cup,neutral
4tfIHPlitfE,It's great to hear from nass and mike perfect analysis from this legends,t20 world cup,favor
4tfIHPlitfE,🌻🌻🌻.........thanks for your such involemotional  fluent  narration 🕊🕊❤❤,t20 world cup,neutral
4tfIHPlitfE,Big fan both of you Mike n nasir❤,t20 world cup,favor
4tfIHPlitfE,We Indians love both. Thanks for your tremendous analysis  as well as heart touching commentary every time.,t20 world cup,favor
4tfIHPlitfE,"We have 2 Squads of possible Indian players not selected for this WC: Prabhsimran, Jaiswal, Gill, Sai Sudarshan, Ruturaj, Iyer, Jitesh, Jurel, Pant, Lord Nitesh Rana, Riyan Parag, Krunal Pandya, Nitish Reddy, Sai Kishore, Bishnoi, Khaleel, Yash Dayal, Mayank Yadav, Ashok Sharma, Anshul Khamboj, Avesh Khan and Akash Deep.

Not everyone is top 5 team talent but most can make a squad better.",t20 world cup,neutral
4tfIHPlitfE,Congratulations🇮🇳,t20 world cup,neutral
4tfIHPlitfE,"Didn't Nazir Hussein say - I actually quite like Bangladesh sticking to their guns, standing up for their players. I quite like Pakistan sticking up for Bangladesh as well. At some stage, someone should say, enough with this politics, can we just get back to playing cricket,""  .. What happened to him, now?",t20 world cup,neutral
